text
Степан Трофимович уверял
Варвара Петровна на
Но хроника ее
Ответы не замедлили;
В шестьдесят третьем
Во всё это
Она позволила себе
После производства молодой
"Узнали наконец, посторонними"
"Доискались, что он"
Денег у матери
Наконец мать умолила
Тут-то я в
Это был очень
Я ждал встретить
"Напротив, это был"
Не я один
Все наши дамы
Они резко разделились
"Одних особенно прельщало,"
"Оказалось тоже, что"
"Познаний, конечно, не"
Упомяну как странность:
Он был не
Наши франты смотрели
Поразило меня тоже
"Говорили, что лицо"
Варвара Петровна смотрела
Он прожил у
"Губернатору, по отцу,"
Но прошло несколько
Кстати замечу в
По хлебосольству его
В городе постоянно
"Конечно, это было"
Да и мало
"Напротив, Варвара Петровна,"
Вместо высших назначений
Вместо прежних поэтических
Даже Степана Трофимовича
Мало-помалу Степан Трофимович
"Разумеется, эти шутки"
"Все мы, близкие,"
Страсть ее к
А между тем
"Заметно было, что"
"Наш принц вдруг,"
Один из почтеннейших
Но однажды в
Злобы он не
"Можно было подумать,"
Сгоряча все сначала
Николай Всеволодович повертывался
Наконец вдруг как
Всё это было
"Начали с того,"
С злобною невинностию
Именно эту фразу
"Губернатора, как нарочно,"
В ожидании же
Проектировали даже в
Замечательно именно то
"Значит, от Николая"
"С своей стороны,"
"Прибавлю тоже, что"
Любопытен был для
Непременно хотели видеть
Подлинно не угодил
До последнего случая
"Даже наши дамы,"
Она призналась потом
На другое утро
Она всю ночь
"Ей хотелось, чтобы"
"Nicolas, всегда столь"
А в тот
Он явился к
Варвара Петровна уже
Он уже и
У Липутина же
"Он угадал, что"
Гостей набралось множество;
Самолюбивый и завистливый
"Самый почетнейший гость,"
"Подавали чай, стояла"
Николай Всеволодович поднял
"Заметив наконец, какая"
Николай Всеволодович взял
Липутин побежал за
Но завтра же
Часов в десять
У него очень
— Сергей Васильич
— Кланяйся и
— А они
да как он
— Уж не
"Милый, мягкий наш"
"Без сомнения, надо"
Гостеприимный наш старичок
"Он решился, однако,"
"В зале, куда"
Иван Осипович заговорил
Nicolas смотрел очень
— Сердце у
Говорю как друг
Что могут означать
Вдруг как бы
"— Я вам,"
Воспитанный Алеша Телятников
Бедный Иван Осипович
И вот тут-то
"Старичок вдруг почувствовал,"
Алеша и полковник
Они смотрели выпуча
"Nicolas заметил, может"
— простонала опять
Весь этот смертный
Но через полчаса
"Решение было резкое,"
"Ко всеобщему изумлению,"
В два часа
Когда караульный офицер
Все три наши
"Выходило таким образом,"
"Иван Осипович, человек"
В клубе тоже
"Явились, разумеется, и"
Из Москвы был
"Когда, к весне,"
В клубе известно
"Разъезжая по визитам,"
"Все приняли его,"
Иван Осипович даже
"Право, некоторые у"
"— Скажите, —"
— А таким
"Но, однако, позвольте:"
— За умнейшего
"— Ну, тут"
"— вскричал он,"
— Во всяком
Я ведь слышал
"— вскричал Nicolas,"
Так разве это
— с какою-то
С языка всемирно-человеческой
"— Фу, черт,"
О господине Ставрогине
"И это там,"
«Бог знает как
Наш принц путешествовал
Нам же известно
"Передавали тоже, что"
Он мало писал
Раз установившиеся отношения
"Ни мечтаний, ни"
Даже от Степана
Она создавала какие-то
Наконец в апреле
В письме своем
Письмо было краткое
Варвара Петровна долго
Воротилась она в
Дроздовы были тоже
По смерти же
По возвращении же
В городе у
"Прасковья Ивановна, в"
Отставной штаб-ротмистр Тушин
"Умирая, он завещал"
"Теперь, когда Лизавете"
"Варвара Петровна была,"
"По ее мнению,"
Он был в
"Уезжая за границу,"
Она сердилась на
Но еще в
Быстрая и таинственная
Его мучило одно
"Кроме того, в"
"Затем, в отсутствие"
По крайней мере
Он с волнением
"Он узнал положительно,"
О будущей губернаторше
Всем откудова-то было
Бодрый и победоносный
"С особенным, радостно-угодливым"
"— Вам, excellente"
2 Но вряд
— То есть...
"«Дай-ка, дескать, я"
И это в
"En un mot,"
Но уж я
"Кстати, вы носите"
— Это я...
Ходите ли ежедневно
— Теперь вы
Вы не то
8 Продолжайте о
— En un
Когда про вас
— Что «подобного
"Говорят, честолюбива и..."
До сорока пяти
"— И, говорят,"
Мать ее в
"А эта, бывало,"
Ей тогда двадцать
— Я вам
Вы ведь читали
Сама же эта
"Гляжу, а тут"
"Разумеется, я мигом"
— Не будучи
Лембке — это
Редко я встречала
"— Злой дурак,"
"— Вы, может"
"13
— Но теперь"
"Благородная и пылкая,"
"— Ба, да"
"— Видите, это"
"Мне кажется, он"
"Вы понимаете, всё"
"Стало быть, интригует"
"Вдруг говорит мне,"
И если бы
Она у графа
Но Лиза на
"— Ну да,"
Она с ним
Она намерена что-то
Он на месяц
Я чуть было
"Впрочем, надеюсь, что"
В старину ко
"Я бы желала,"
"По-прежнему приятели, по-прежнему"
Я бы не
Я и прежде
"— Mais, ma"
"— К такому,"
"Есть умнее, значит,"
"Mais, ma bonne"
Имею же я
"Et puis, comme"
— Я сказал:
— Так я
Почему вы сами
"Это гораздо лучше,"
"Во-первых, потому, вероятно,"
По крайней мере
"18
— Теперь, когда"
"Я бы желала,"
Вместо того чтобы
"Можно ли, позволительно"
— Он... он
"— Он, кажется,"
"19
— Терпеть не"
"— Здорова, у"
"Je vous attendais,"
"Вы начинаете брызгаться,"
И как странно
А тут и
Степан Трофимович «пощадил
Дурных привычек действительно
Он видимо и
"Пил больше, стал"
Лицо его получило
Не выносил одиночества
Надо было непременно
Если же долго
Он всё что-то
Весь день этот
Варвара Петровна давно
"Мне показалось наконец,"
"Обыкновенно прежде, когда"
В этот раз
— Tous les
"Вы, говорит, должны"
"Mais, entre nous"
"И, наконец, разъяснилась"
Много раз в
Наконец повернулся от
"Да, действительно, до"
Двадцать лет коренилось
Предчувствовал ли он
Приступлю теперь к
Появление их немногим
Но обо всех
"— От Лизаветы,"
"Не знаю причин,"
"Рада-радешенька, что привезла"
"Видно было, что"
Но не Варвару
Прасковья Ивановна немедленно
"Эта раздражительная, но"
Но из всех
"От обвинений же,"
"Одним словом, всё"
"По рассказам ее,"
— Вскоре затем
Прасковья Ивановна и
"— Ну, сын"
"Обыкновенный молодой человек,"
"Ну, тут уж"
Не осуждаю я
"Только Николай Всеволодович,"
Молодой человек вскорости
"Заметила она, что"
Раздражаться мне доктора
Печатают даже про
А тут Николай
"Простились-то они по-дружески,"
"Уехал он, —"
Да и вам
"А будете молчать,"
"По-моему, опять сойдутся,"
Коли всё было
— Про Дашеньку
Одни только обыкновенные
Да уж очень
"Да и Лиза,"
Но все-таки оставалось
Мнение «Прасковьи» казалось
«Прасковья всю жизнь
"Офицер этот, однако,"
Да и насчет
К утру у
Что было в
"— трудно решить,"
"Как хроникер, я"
"Но, однако, должен"
Да и мысли
"Утром, когда Дарья"
"Заметила только, что"
"После чаю, по"
Варвара Петровна велела
Ни одного вопроса
"Даша, сидевшая подле"
"— Дарья, —"
"— Нет, ничего,"
"— На душе,"
"— Ничего, —"
"Знай, Дарья, что"
Перейди на этот
Даша отвечала вопросительным
"Во-первых, есть разница"
"Ты рассудительна, и"
"Впрочем, он еще"
Даша посмотрела еще
Хоть у тебя
Тебя обманут и
Смотри теперь с
"Стой, я не"
Ведь не за
"А главное, потому"
"Жалкая, впрочем, баба;"
Но его стоит
— Я так
Он тебя любить
"— А впрочем,"
Он станет на
Заставь слушаться; не
"Повеситься захочет, грозить"
"Не верь, а"
"Слушай, Дарья: нет"
И к тому
"Ты не думай,"
Я ведь не
— Мне ведь
— строго и
— Ты хоть
Это хоть и
Не будь Степана
"Стой, молчи, куда"
Я их теперь
Из них восемь
У него есть
Семь тысяч останутся
Вы будете получать
Годовые деньги я
Но будь и
"А коли умру,"
"А тебе, кроме"
И больше тебе
"— Вспомни, что"
"— Только позвольте,"
"— Нет, он"
Она мигом вскочила
Даша опять немного
Варвара Петровна вдруг
— накинулась она
"Неужто ты думаешь,"
Да он сам
Ты ведь знаешь
"Или ты думаешь,"
И она полетела
"Это правда, что"
Самое благородное и
Давно уже Варвара
"До сих пор,"
«В этой жизни
Она немедленно отложила
Ходили учителя из
Одна бедная заезжая
"По-настоящему, он первый"
"Опять повторю: удивительно,"
Лизавета Николаевна Тушина
Но он сам
Лекции о первобытных
"Лиза, которая млела"
Тот узнал про
Сконфуженная Лиза бросилась
Но Лиза скоро
Когда к Даше
"Раз, когда уже"
Он заговорил с
Варвара Петровна похвалила
Степан Трофимович стал
Начали с древнейшего
Когда Степан Трофимович
"Степан Трофимович покоробился,"
Произошло это ровно
Бедный Степан Трофимович
В грустном раздумье
"На дворе моросило,"
Вдруг страшное видение
Он до того
"— Вы одни,"
Как вы всегда
Вы и чай
"Отвори, матушка, окна,"
А мы в
Да подмети ты
— А ты
Дрянная у вас
Я ведь вам
"— Я... сейчас,"
Этак действительно будет
Она объяснила ему
Намекнула и о
"Знал только, что"
"— Mais, ma"
"2
— Ребенок, которому"
"Не вертите, пожалуйста,"
Вы очень умны
А она будет
"Понимаете ли вы,"
— У вас
Да вы должны
А за вами
"У вас значение,"
"Вы, может быть,"
Вы сформируете ее
Нынче сколько погибают
К тому времени
"— Я именно,"
— О ней
"Конечно, вы должны"
К тому же
Тут была одна
— задрожал вдруг
— Вы не
"— Qui, j'ai"
"Mais... c'est égal, 3"
"— Вижу, что"
"— Я вижу,"
"4
— Но к"
"Сидите дома, если"
Завтра же в
"Постарайтесь, чтобы никого"
"Разумеется, назавтра он"
Тут было одно
Степан Трофимович только
Сделка для молодого
"Впрочем, всю эту"
"Напротив, весь доход"
Вся она стоила
Но он иногда
"Она скрежетала зубами,"
И вдруг теперь
"Ясное дело, что"
Первоначально всё имение
"Без сомнения, Степан"
Но Степан Трофимович
В голове его
Отдаленно и осторожно
"Он намекал, что"
Это выставило бы
Много еще он
Наконец сухо объявила
Об остальных же
Прежде еще могла
"Степан же Трофимович,"
Как бы там
"Сначала, кончив курс"
Вдруг получилось у
"Потом, что он"
— Удивительно мне
"3 Он добр,"
Их пленяет не
У меня здесь
"Петруша выслал, впрочем,"
"И вот теперь,"
"Мало того, даже"
Он писал теперь
Всё это было
А что если
Что-то говорило Степану
"«Почему это, я"
"Я не знаю,"
Мне случалось тоже
Только в последнее
Все письма его
И вдруг теперь
Он тотчас же
"Конечно, поплакал, много"
После чего он
Наутро мастерски повязал
"Платок спрыснул духами,"
"— Во-первых, благородная"
"Спешить, впрочем, нечего,"
Скоро день вашего
Сделайте вечерний чай
"Пригласите ваших друзей,"
Накануне вы с
А там недели
"Я тоже, может"
"Он заикнулся было,"
"Во-первых, ничего еще,"
— Так. Я
Всё нужное будет
Она решительно не
"Увы, он решительно"
"Напротив, явился какой-то"
"— восклицал он,"
Она хочет довести
Ведь я тоже
"«Сидите, и нечего"
"Потому только, что"
Но я человек
У меня есть
"Я, может быть,"
Но она может
"Et enfin, le"
"«Может, ничего еще"
— Je suis
И в то
"Прошло с неделю,"
"Замечу вскользь, что"
"Тяготил его, главное,"
По мнительности же
"Даже гулять выходил,"
"Прошла неделя, а"
С невестой он
К себе почему-то
На одно из
Письма же обещала
Эту записку я
"И, однако, все"
Эта забота мучила
Это было нечто
"Само собою разумеется,"
По глубочайшему тогдашнему
"Сгоряча — и,"
По жестокости моей
Он тоже меня
"Пожалуй, раздражение мое"
С известной точки
— Такова ли
Можете ли вы
"Она говорит, что"
Она презирает прежнее...
"— Cher ami,"
"но все-таки менее,"
Этим словечком своим
Но это было
Но всего более
О Лизавете Николаевне
"Без сомнения, он"
В Лизавете Николаевне
И все-таки к
Главное было в
Чрезвычайное впечатление производили
Ослепление мое продолжалось
Все наши еще
Он настоял на
Я же и
"Я знал вперед,"
Пока я всё
"Оказалось, что он"
"Но, странное дело,"
"Правда, у него"
Он стал говорить
Хотя я терпеть
"Человек этот, по-моему,"
Он знал во
"Мне всегда казалось,"
"Когда я, в"
Я стал ему
— Вот верьте
"Я промолчал, но"
После того целых
"Однажды поутру, —"
"Я встретил Кармазинова,"
Его повести и
Потом я несколько
"Вообще говоря, если"
Как-то это вдруг
"О, тут совсем"
"Правда и то,"
"Нередко оказывается, что"
"Самолюбие их, именно"
Бог знает за
"Про Кармазинова рассказывали,"
"Рассказывали, что он"
Но при первом
Несмотря на полную
Если же случайно
С год тому
Он описывал гибель
"Вся статья эта,"
Так и читалось
Зачем вам это
Я ведь достаточно
Чего вы смотрите
Смотрите лучше на
Вот я стал
Когда я передал
Когда пошли у
"Я знал, что"
И вот вдруг
Я тотчас узнал
Это был очень
Чистенькое личико его
Он был одет
Но по крайней
"Я уверен, что"
"Когда мы столкнулись,"
"Заметив, что я"
"Да это здесь,"
— Всё прямо
Проклятие на эту
Он мигом всё
"Он улыбнулся, кивнул"
"Не знаю, для"
— А не
извозчики всего ближе
"Я подозреваю, что"
"Разумеется, я тотчас"
"Тут случилось то,"
Он вдруг уронил
"Впрочем, это был"
"Я совершенно убежден,"
Хитрец тотчас же
"— Не беспокойтесь,"
"Было всё равно,"
Минут с пять
Встреча показалась мне
Я прочел и
Взглянув на него
Сам же был
— исступленно вскричал
1 Она имеет
"Вот, вот нераспечатанное"
2 Какое мне
3 Я вазы
Я послал ей
"Я хочу, чтобы"
"Vous me seconderez,"
4 Я не
Пусть мне во
— заключил он
Я попросил его
"Всё время, пока"
— Неужели вы
— и взвалив
Степану Верховенскому не
"О, вы не"
"Отвечайте, отвечайте немедленно:"
Я даже сделал
Во всем этом
"— Может быть,"
— проговорил он
Я вскочил в
На бумажке рукой
Степан Трофимович молча
Вдруг голоса и
Почему бы он
Но все-таки испуг
Уж один вид
Он вел за
В ответ на
"А главное, сынка"
— О поручении
Оставил в X
Степан Трофимович машинально
А мне-то ведь
"— Да, я"
Это был еще
Он казался несколько
Липутин совершенно заметил
Он уселся на
Вострые глаза его
— Я... давно
— Алексей Нилыч
Они с господами
"Инженер сидел, как"
"Мне показалось, что"
— Они и
— Я... я
— Да так
Наконец-то я... видите
— Жду теперь
"То есть я,"
"2 Мальчик, знаете,"
"Ложась спать, клал"
"Enfin, 3 чувства изящного"
"4 Впрочем, я"
"— Да, крестил...
—"
— Я очень
"— Ах, это"
"— Именно, в"
5 Так неужели
— Вас первого
Никак я не
Он круто повернулся
"— Извините меня,"
"Я Шатова знаю,"
"— Я понял,"
И до того
"Я, который изучил"
— отрезал опять
"— Они изучают,"
— Это вы
Тут не статья
"— Виноват-с, может"
Они только наблюдения
Они уже больше
— Всё это
— Если я
Но вы не
Я презираю чтобы
Я не рассуждаю
Я никогда не
— Я вам
"Я не обидлив,"
А если я
"— Господа, мне"
"— Ах, это"
Он встал и
"— Жаль, что"
— Желаю вам
"— Понимаю, что"
8 В одном
— воскликнул пораженный
На мгновение лицо
Липутин потирал руки
А я всё
"Был тот миг,"
— Это всё
Капитан Лебядкин ежедневно
Так Алексей Нилыч
— так и
"А, это отставной"
Но ведь у
— А вот
— Точно у
— осклабился вдруг
"— Ах, боже"
— Да всё
"Впрочем, я всё"
"Человек раздражительный и,"
А сестрица эта
Была будто бы
А что суммы
У сестрицы припадки
"Вот не пойму,"
Алексей Нилыч только
— Вы очень
Откуда у нас
"Инженер нахмурился, покраснел,"
— Алексей Нилыч
— Зачем вы
— Зачем же
— Как это
— А то
"Ну, да уж"
"До свиданья-с.
Но уж"
— начал он
— Вдруг призвали
— пробормотал Степан
В один миг
— бормотал Липутин
Я вас очень
"А вы, Липутин,"
— Знал бы
— Только сделайте
"Нескладно выйдет-с.
Степан Трофимович"
— Да что
Я дело бросил
Вводят меня прямо
Сижу и верить
Начинают прямо без
Николай Всеволодович тогда
"Мне известно тоже,"
Скажите откровенно и
Тут уж совершенно
Начинают опять не
Я послала теперь
"Вы, говорит, поймете,"
"Всё это, говорит,"
"Разумеется, говорит, я"
Но могло быть
"По крайней мере,"
"Но я мать,"
"Умоляю вас, наконец"
— Вы... вы
Уж не получили
— Я не
Да разрази меня
"Разве мы чужие,"
— Я такого
Да я пуще
А вот я
"Вчера вечером, под"
Они и отвечают
А не заметили
Представьте же себе:
"Заметьте при этом,"
— Я желал
Вы никакого не
Я хоть и
Прошу вас меня
"Хорошо вам, Алексей"
А вы вот
А я ему
"Так, верите ли,"
Мы в Филипповом
"Я вам, разумеется,"
— А об
Я шпион и
Вы и меня
— Я еще
"Напротив, это он"
Но вы мне
Оба сами себя
"Мне подумалось, что"
— Алексей Нилыч
"Наш принц, надо"
Тогда вот и
"— Берегитесь, Липутин,"
"Я первый кричу,"
«Вот в характере
Лебядкин тоже в
"Эх, Степан Трофимович,"
А вот Варвара
Какие уж тут
"Кажется, имею причины"
Сегодня жмет вам
А главное у
"Помещики с крылушками,"
"Вам хорошо, Степан"
А вот женились
Да чего уж
Только разве вкусу
Всякая ягодка в
Вы вот про
— То есть
Я интересуюсь только
— Тут случай
А Лебядкин немного
"Стало быть, кричит"
— Да ведь
Кто-нибудь ошибся и
— Да и
Да ведь его
Подвернется им полный
Так точно и
"Кто-нибудь ошибся, а"
"— всполохнулся Липутин,"
Степан Трофимович постоял
"Выходя из ворот,"
"1
— Степан Трофимович,"
С жалкою и
"Наконец-то это заветное,"
Я решительно вышел
Он посмотрел на
Я бы простил
Он не задумался
Деспотические действия Варвары
"Мне непременно хотелось,"
"— воскликнул он,"
— Пойдемте сейчас
"— вскричал я,"
"— раздался свежий,"
— Я двенадцать
Степан Трофимович схватил
Он глядел на
"Маврикий Николаевич, он"
"Тетя убеждала, что"
Я всё топала
— рассматривала она
"Ах, нет, есть"
Мне вспомнился в
— Вы... я...
"En Dieu, qui"
"4 Видите, я"
"Маврикий Николаевич, какую"
А помните ваши
Няня Алена Фроловна
"А помните, как"
"А помните, как"
"И всё-то неправда,"
Это самый лучший
"5 Но, голубчик"
— продолжала она
"А помните, как"
"Приподнимите шляпу, снимите"
"Видите, та барышня"
"И она, принагнувшись"
"Я вам, упрямцу,"
6 — восклицал
"7
Не более как"
— Vous et
— Вот вам
Я хотела было
Этот Маврикий Николаевич
"Он, впрочем, был"
Говорили потом у
Весь город уже
Были из них
"Во-вторых, ненавидели ее"
У нас до
"Впрочем, все уже"
Что выдавалось в
"Теперь, вспоминая прошедшее,"
"Может быть, она"
"Высокая, тоненькая, но"
Глаза ее были
Какое-то могущество сказывалось
"Она казалась гордою,"
"В этой натуре,"
"Может быть, она"
— Почему мне
Я всю жизнь
Превосходный миниатюрный портрет
С тех пор
Она встала и
— Не вешайте
— Одна жизнь
"Видите, какие я"
"Она, усмехнувшись, посмотрела"
— А зачем
У него действительно
"Спрашивая, она так"
"— Знаю, знаю,"
Познакомьтесь и с
Я об вас
"— Ах, простите,"
"— Впрочем, что"
"Степан Трофимович, через"
Теперь уж я
"— О, Маврикий"
"— Ба, да"
Тетя давеча меня
"— Ах, боже,"
"Мамаша, правда, сначала"
— Я... я
— А конфидента
"Ну да полноте,"
"Скорее же приходите,"
Это брат Дарьи
— Я хочу
C'est le meilleur
"Я слышала, что"
В таком случае
"Мне его рекомендовали...
—"
— Я довольно
"— Передайте ему,"
"Я, разумеется, тотчас"
12 — догнал
"О, я слишком,"
Шатова я не
"Наконец, уже в"
Квартира его была
"Мне было подумалось,"
Я с любопытством
Да и на
Проклиная неудачу и
Так как он
"— Пойдемте, —"
"Я вспомнил, что"
"В этом флигеле,"
Хозяин дома в
Комнаты во флигеле
"В той, куда"
В углу помещался
"Господин Кириллов, войдя,"
"Я было возразил,"
— А я
Баба скоро внесла
— Я чай
"Меня удивило, что"
— Давеча вышли
Я Липутину не
У Липутина много
— Да ведь
"Липутин или слаб,"
"— Впрочем, вы"
"Правда, он врал"
Я извинился и
С минуту помолчали;
— Он это
"Он не ответил,"
— Что же
"— спросил я.
Он"
— Я... я
Есть два рода:
— Да разве
Если б предрассудка
"— Представьте, —"
— А станьте
"Всякий первый ученый,"
"Всякий будет знать,"
— Разве нет
"— Вы, может"
— Всякий не
— Вся свобода
"Да тогда никто,"
— Человек смерти
— Жизнь есть
Теперь человек жизнь
Жизнь дается теперь
Кому будет всё
Кто победит боль
"— Стало быть,"
В камне боли
Кто победит боль
"Тогда новая жизнь,"
"И мир переменится,"
— Если будет
"Всякий, кто хочет"
Кто смеет убить
Дальше нет свободы;
Теперь всякий может
— Но всё
Кто убьет себя
"— Не успеет,"
— Это всё
"— Мне жаль,"
— А мне
"Давеча было смешно,"
"— Да, невесело"
"Нет, я... я"
Я не могу
Меня бог всю
"— А скажите,"
Я так всю
— Еще вопрос
Вы давеча хорошо
"— Должно быть,"
"— Н-нет, он"
Он проводил меня
"«Разумеется, помешанный», —"
Я застал его
"Увы, визит к"
"— Mon ami,"
"1 Представьте, что"
Так на меня
Они ведь обе
Почему Прасковье непременно
"Ce Maurice, 2 или,"
— Да ведь
"— Ну, в"
Там они совсем
"Cette pauvre 6 тетя,"
"8 Вообразите, возвращаюсь"
Он подал мне
"Она, кажется, раскаялась"
"Письмецо было вежливое,"
"Послезавтра, в воскресенье,"
"С своей стороны,"
«Вы можете получить
— Заметьте эту
"Признаюсь, это внезапное"
"10 О, кабы"
"— Друг мой,"
Эти дружеские пальцы
"Но теперь... о,"
Ведь я блажной
Она двадцать лет
"Да, забыл: Lise"
"Обе советовали, даже"
"Да и Lise,"
Я ей простил
"Вам, однако, говорят"
"Приближаются ваши немощи,"
Вон у меня
La pauvre amie
15 И-и у
C'est un monstre;
"Lise слушает, слушает,"
Я простил ей
Я воспользовался промежутком
Насчет же сплетен
Степан Трофимович прослушал
Я кстати упомянул
— Он не
— Ces gens-là
17 С ними
Я видел их
и не только
Не испугаюсь и
— О друг
"Я уведомил ее,"
— И какое
"— Но, mon"
"Предположите, что там"
Должен же я
— Никогда ничего
20 Всё равно
"— О, теперь"
"Единственно потому, что"
"Бедный друг мой,"
«Если хочешь победить
"Ну, вот и"
"О друг мой,"
Брачная жизнь развратит
"Le bon Dieu, 22"
"Настасья, я знаю,"
Он не был
"— О, почему"
— воскликнул он
23 Ну что
"двадцать лет, все"
— Но про
И ни разу
И неужели она
"О, пусть узнает"
Она должна узнать
Я в первый
Я был не
— всплеснул он
"О сын мой,"
"Я так устал,"
Мы вошли почти
"Они все, то"
"Мама́ требовала, чтобы"
"Маврикий Николаевич, по"
У ней распухли
Лиза покраснела от
Поблагодарив его за
— Это господин
"— Нет, есть,"
— Вовсе никогда
"Господин Г—в служит,"
"— Студент, профессор,"
— Это мама́
— Когда у
— обратилась ко
"— Нет-с, я"
"— Ах, мама́,"
"Вы здесь, когда"
— А англичанин
"— А, видишь,"
— Это тетя
— Коли Гарри
"— Уверяю вас,"
Я ей сама
"Мама́, слышите, двенадцать"
"— Доктор приехал,"
Старуха привстала и
"Скверная, старая, маленькая"
"Прощайте, батюшка, не"
"— Антон Лаврентьевич...
—"
"Не провожайте меня,"
"Слава богу, еще"
"— Антон Лаврентьевич,"
"Я, нечего делать,"
Дело у Лизаветы
"Не знаю почему,"
"Мы, то есть"
Всё состояло в
"Серьезность, с которою"
"«Должно быть, из"
Шатов слушал со
Издается в России
"Год отходит, газеты"
Многие опубликованные факты
Многие желали бы
"А между тем,"
— Вместо множества
Но Лизавета Николаевна
Книга должна быть
"Но, положим, хоть"
"Указы, действия правительства,"
Можно многое выпустить
"Конечно, всё может"
"И наконец, книга"
"Это была бы,"
"Она очень разгорячилась,"
"— Значит, выйдет"
"— Отнюдь нет,"
— Да направление
В подборе фактов
"— Так возможна,"
Да и когда
Он поднял наконец
— ласково и
— Да ведь
— Мне показалось
Деньги у меня
К тому же
Мы пополам: ваш
— Если откопаем
"— Предупреждаю вас,"
— Да ведь
— Почем же
— Мне о
— Он очень
"Шатов мгновенным, едва"
— Мне и
"— Впрочем, вот"
"— Возьмите домой,"
"Там тоже, говорят,"
Шатов с пачкой
— На эти
"— крикнула она,"
"— Посмотрите это,"
"Пожалуйста, прочтите вслух;"
С немалым изумлением
Я решительно не
Всё это навело
Да и пора
"Она, кажется, и"
— Ах и
— Передайте мой
"Извините, мама́ не"
"— Оне-с.
Я нашел"
"В ту залу,"
Она стояла посреди
— Я немедленно
Она была в
"— Эту Лебядкину,"
— Я никогда
"— Это невозможно,"
Я надеюсь только
У меня явилось
— Вот что
"Я так сделаю,"
"— Скажите ему,"
"Он, может быть,"
Я не обманывала;
"— Впрочем, если"
— Я раньше
"Стало быть, правду"
"— улыбнулась она,"
"Я вышел, подавленный"
Я видел женщину
Ее женственная улыбка
Секреты ее стали
Я только нечто
"Мало того, я"
Вся надежда была
"Только вечером, уже"
"К удивлению моему,"
"Этот Шигалев, должно"
Виргинский познакомил меня
В жизнь мою
"Он смотрел так,"
"Мы, впрочем, тогда"
Всего более поразили
Если Липутин и
Он произвел на
Еще с лестницы
"Они спорили стоя,"
Шигалев хотя и
"Шигалев начал, наконец,"
Наконец Шатов привстал
Они вышли не
— Наплевать на
"— сказал он,"
Лицо у него
"Обыкновенно случалось прежде,"
"Зато, прощаясь, опять,"
— Я у
— Русский атеизм
"— Нет, этот,"
— Люди из
— Ненависть тоже
Некого было бы
Тут одна только
Никогда еще не
— А вы
"— Знаете, —"
— Вовсе я
— Да вы
Тогда я только
Наш русский либерал
"Вы, я вижу,"
— Степан Трофимович
"— Двугривенный взяли,"
Мы с ним
Третьего года мы
— Да вы
— Мы там
"Ну и работали,"
Эксплуататор-хозяин нас при
— Неужто хозяин
"Ну как, должно"
"Мы, напротив, тотчас"
Да что: когда
Мы всё хвалили:
"Раз мы едем,"
"— Но, однако"
— Я к
"Шатов, разговаривая, всё"
Тут же вдруг
"Он вдруг встал,"
У нас ходил
"«Если так, то"
— Я еще
Я тотчас же
Затем внушительно подтвердил
"— Может быть,"
"Он встал, подошел"
— Этого-то и
"Он придет, так"
Я его давеча
— Именно; за
"Боюсь, пьяный воротиться,"
Дверь к Лебядкиным
Всё помещение их
Тут когда-то несколько
"Остальные, бывшие под"
Мебель состояла из
Во второй комнате
"Везде было накрошено,"
"Видно было, что"
Капитан приехал с
"Mademoiselle Лебядкина, которую"
Она нас не
"Шатов говорил, что"
При свете тусклой
Она посмотрела на
"Заметно было, что"
"Сурмит тоже брови,"
На узком и
"Я уже знал,"
"Когда-нибудь, в первой"
"Эта тихая, спокойная"
"Странно, что вместо"
— Вот так
Старуха из флигеля
"К удивлению моему,"
"— Я тебе,"
"Не знаю, кого"
"— Соскучилось, что"
"— засмеялась она,"
Шатов подвинул к
— Разговору я
Дай я тебя
— Да у
Так я тебе
С самым серьезным
"— Знаешь что,"
Странно мне на
И совсем мне
Я ему крикну:
— И это
У ней какие-то
"Вы думаете, она"
"Это ничего, что"
Мечтательница чрезвычайная; по
"Вот булка лежит,"
Вот в карты
Булочку она наконец
— Всё одно
— Это самое
"Ахают они, качают"
Дочь у ней
Только сижу я
Что ж ты
Пьем мы это
— «Какое это
А Лизавета эта
Зимой тулупчик просунут
"Богомольцы смотрят, ахают,"
"«Вот нашли сокровище,"
Не понравилось мне
Они мне все
"Игуменья рассмеялась, зашепталась"
"Ну, а монашек"
"«Нет, говорю, ничего"
Вот с тех
А тем временем
"— «Так, говорит,"
И всякая тоска
"И никакой, никакой,"
Стала я с
И вот я
"Уйду я, бывало,"
Взойду я на
"Встану потом, обращусь"
Повернусь я опять
Тут и я
И всё больше
— подтолкнул меня
— А как
И как родила
— Смешон ты
"Был-то, может, и"
— А что
— Трудный ты
"— Шатушка, Шатушка,"
— положила она
— Да ты
"Знаешь, Шатушка, я"
Вот я «кошечке»-то
"Ох, Шатушка, Шатушка,"
— Да ведь
"— Не скажу,"
И сколько бы
— Ну вот
— А попросил
"Попроси, попроси меня"
Но Шатушка молчал;
Слезы тихо текли
"— Э, что"
— сердито дернул
"— Придет, так"
"Ну, прощайте, добрые"
Давеча пришел это
Как хозяин-то схватит
"Так, веришь ли,"
"— Постой, ведь"
"Ну, чего спорить"
"— Пойдемте, —"
И не успели
"Шатов, впустив меня"
— Посидеть вам
"Вишь, кричит как"
"Этот «завтрашний день»,"
Это был день
"Утром, как уже"
И между тем
"Одним словом, это"
